Hourly measurement data supplied by UK-air on 27/02/2024
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
Site Name,,"Birmingham Tyburn",,"Harwell",,"London Marylebone Road",,"London N. Kensington",
Latitude,,52.511722,,51.571078,,51.522530,,51.521050,,
Longitude,,-1.830583,,-1.325283,,-0.154611,,-0.213492,,
Site Type,,Urban Background,,Rural Background,,Urban Traffic,,Urban Background,,
Zone,,West Midlands,,South East,,Greater London,,Greater London,,
Agglomeration,,West Midlands Urban Area,,#N/A,,Greater London Urban Area,,Greater London Urban Area,,
Local Authority,,"Birmingham",,"White Horse",,"Westminster",,"Kensington",,
Date,Time,"Total Number Concentration (CPC)",Status,"Total Number Concentration (CPC)",Status,"Total Number Concentration (CPC)",Status,"Total Number Concentration (CPC)",Status
2011-01-05,03:00:00,3461,V particles cm-3,1547,V particles cm-3,18400,V particles cm-3,5697,V particles cm-3
2011-01-05,04:00:00,3747,V particles cm-3,1760,V particles cm-3,19030,V particles cm-3,5525,V particles cm-3
2011-01-05,05:00:00,3600,V particles cm-3,2126,V particles cm-3,23006,V particles cm-3,5159,V particles cm-3
2011-01-05,06:00:00,5359,V particles cm-3,1836,V particles cm-3,27657,V particles cm-3,5726,V particles cm-3
2011-01-05,07:00:00,6359,V particles cm-3,2125,V particles cm-3,40631,V particles cm-3,8674,V particles cm-3
2011-01-05,08:00:00,7297,V particles cm-3,3090,V particles cm-3,55709,V particles cm-3,11729,V particles cm-3
2011-01-05,09:00:00,7579,V particles cm-3,3747,V particles cm-3,60460,V particles cm-3,14570,V particles cm-3
2011-01-05,10:00:00,8198,V particles cm-3,3385,V particles cm-3,69800,V particles cm-3,12765,V particles cm-3
2011-01-05,11:00:00,9546,V particles cm-3,4255,V particles cm-3,55048,V particles cm-3,9840,V particles cm-3
2011-01-05,12:00:00,9667,V particles cm-3,5758,V particles cm-3,48411,V particles cm-3,8497,V particles cm-3
2011-01-05,13:00:00,9863,V particles cm-3,No data,V particles cm-3,No data,V particles cm-3,9840,V particles cm-3
2011-01-05,14:00:00,10336,V particles cm-3,2557,V particles cm-3,51063,V particles cm-3,9533,V particles cm-3
2011-01-05,15:00:00,10510,V particles cm-3,2838,V particles cm-3,58059,V particles cm-3,4440,V particles cm-3
2011-01-05,16:00:00,11320,V particles cm-3,2425,V particles cm-3,56388,V particles cm-3,10602,V particles cm-3
2011-01-05,17:00:00,10519,V particles cm-3,2592,V particles cm-3,60778,V particles cm-3,12066,V particles cm-3
2011-01-05,18:00:00,11900,V particles cm-3,2476,V particles cm-3,65184,V particles cm-3,13787,V particles cm-3
2011-01-05,19:00:00,12871,V particles cm-3,1824,V particles cm-3,66557,V particles cm-3,11957,V particles cm-3
2011-01-05,20:00:00,14103,V particles cm-3,1212,V particles cm-3,75831,V particles cm-3,13525,V particles cm-3
2011-01-05,21:00:00,11537,V particles cm-3,983,V particles cm-3,74099,V particles cm-3,13695,V particles cm-3
2011-01-05,22:00:00,16238,V particles cm-3,995,V particles cm-3,53838,V particles cm-3,14589,V particles cm-3
2011-01-05,23:00:00,14891,V particles cm-3,1026,V particles cm-3,53113,V particles cm-3,14392,V particles cm-3
2011-01-05,24:00:00,12226,V particles cm-3,1203,V particles cm-3,55935,V particles cm-3,19105,V particles cm-3
2011-01-06,01:00:00,8511,V particles cm-3,1441,V particles cm-3,39538,V particles cm-3,19669,V particles cm-3
2011-01-06,02:00:00,8569,V particles cm-3,1480,V particles cm-3,29033,V particles cm-3,10283,V particles cm-3
2011-01-06,03:00:00,9037,V particles cm-3,1324,V particles cm-3,25097,V particles cm-3,9988,V particles cm-3
2011-01-06,04:00:00,19933,V particles cm-3,1332,V particles cm-3,26918,V particles cm-3,10969,V particles cm-3
2011-01-06,05:00:00,17929,V particles cm-3,1241,V particles cm-3,36132,V particles cm-3,9742,V particles cm-3
2011-01-06,06:00:00,22998,V particles cm-3,1258,V particles cm-3,42546,V particles cm-3,10005,V particles cm-3
2011-01-06,07:00:00,34147,V particles cm-3,1351,V particles cm-3,61638,V particles cm-3,19331,V particles cm-3
2011-01-06,08:00:00,41010,V particles cm-3,2747,V particles cm-3,37263,V particles cm-3,16322,V particles cm-3
2011-01-06,09:00:00,55481,V particles cm-3,4272,V particles cm-3,40442,V particles cm-3,27930,V particles cm-3
2011-01-06,10:00:00,38897,V particles cm-3,5784,V particles cm-3,28400,V particles cm-3,22823,V particles cm-3
2011-01-06,11:00:00,33494,V particles cm-3,3458,V particles cm-3,25306,V particles cm-3,19345,V particles cm-3
2011-01-06,12:00:00,18374,V particles cm-3,4225,V particles cm-3,26381,V particles cm-3,16864,V particles cm-3
2011-01-06,13:00:00,18212,V particles cm-3,2666,V particles cm-3,27511,V particles cm-3,18712,V particles cm-3
2011-01-06,14:00:00,18046,V particles cm-3,3568,V particles cm-3,26442,V particles cm-3,16917,V particles cm-3
2011-01-06,15:00:00,16339,V particles cm-3,3617,V particles cm-3,24198,V particles cm-3,16984,V particles cm-3
2011-01-06,16:00:00,21891,V particles cm-3,3701,V particles cm-3,27664,V particles cm-3,16621,V particles cm-3
2011-01-06,17:00:00,18038,V particles cm-3,3754,V particles cm-3,32472,V particles cm-3,21975,V particles cm-3
2011-01-06,18:00:00,13548,V particles cm-3,4157,V particles cm-3,57387,V particles cm-3,24025,V particles cm-3
2011-01-06,19:00:00,11144,V particles cm-3,3908,V particles cm-3,65518,V particles cm-3,23145,V particles cm-3
2011-01-06,20:00:00,7187,V particles cm-3,4311,V particles cm-3,75210,V particles cm-3,24733,V particles cm-3
2011-01-06,21:00:00,8042,V particles cm-3,3157,V particles cm-3,44370,V particles cm-3,27275,V particles cm-3
2011-01-06,22:00:00,11917,V particles cm-3,3341,V particles cm-3,56731,V particles cm-3,26002,V particles cm-3
2011-01-06,23:00:00,15851,V particles cm-3,3083,V particles cm-3,39005,V particles cm-3,25439,V particles cm-3
2011-01-06,24:00:00,15271,V particles cm-3,2983,V particles cm-3,39719,V particles cm-3,27955,V particles cm-3
2011-01-07,01:00:00,10246,V particles cm-3,3644,V particles cm-3,31975,V particles cm-3,29644,V particles cm-3
2011-01-07,02:00:00,7474,V particles cm-3,4093,V particles cm-3,31575,V particles cm-3,21067,V particles cm-3
2011-01-07,03:00:00,7996,V particles cm-3,4194,V particles cm-3,30183,V particles cm-3,16049,V particles cm-3
2011-01-07,04:00:00,8894,V particles cm-3,3835,V particles cm-3,33991,V particles cm-3,16790,V particles cm-3
2011-01-07,05:00:00,8282,V particles cm-3,4513,V particles cm-3,31710,V particles cm-3,14227,V particles cm-3
2011-01-07,06:00:00,8727,V particles cm-3,4398,V particles cm-3,37680,V particles cm-3,16827,V particles cm-3
2011-01-07,07:00:00,9552,V particles cm-3,3344,V particles cm-3,46008,V particles cm-3,16432,V particles cm-3
2011-01-07,08:00:00,12253,V particles cm-3,2652,V particles cm-3,53251,V particles cm-3,20810,V particles cm-3
2011-01-07,09:00:00,14821,V particles cm-3,3295,V particles cm-3,70458,V particles cm-3,29137,V particles cm-3
2011-01-07,10:00:00,13202,V particles cm-3,3570,V particles cm-3,53385,V particles cm-3,28926,V particles cm-3
2011-01-07,11:00:00,13384,V particles cm-3,3543,V particles cm-3,65118,V particles cm-3,24021,V particles cm-3
2011-01-07,12:00:00,18828,V particles cm-3,3250,V particles cm-3,66686,V particles cm-3,36436,V particles cm-3
2011-01-07,13:00:00,16974,V particles cm-3,3003,V particles cm-3,81402,V particles cm-3,39616,V particles cm-3
2011-01-07,14:00:00,18190,V particles cm-3,3012,V particles cm-3,83684,V particles cm-3,33350,V particles cm-3
2011-01-07,15:00:00,17135,V particles cm-3,3349,V particles cm-3,85204,V particles cm-3,No data,V particles cm-3
2011-01-07,16:00:00,20044,V particles cm-3,1847,V particles cm-3,73002,V particles cm-3,16293,V particles cm-3
2011-01-07,17:00:00,18845,V particles cm-3,1266,V particles cm-3,No data,V particles cm-3,14076,V particles cm-3
2011-01-07,18:00:00,23446,V particles cm-3,1051,V particles cm-3,No data,V particles cm-3,9860,V particles cm-3
