"date","area","site","ufp"
2000-09-21,"london","nkens",NA
2000-09-22,"london","nkens",NA
2000-09-23,"london","nkens",NA
2000-09-24,"london","nkens",NA
2000-09-25,"london","nkens",NA
2000-09-26,"london","nkens",NA
2000-09-27,"london","nkens",NA
2000-09-28,"london","nkens",NA
2000-09-29,"london","nkens",NA
2000-09-30,"london","nkens",NA
2000-10-01,"london","nkens",NA
2000-10-02,"london","nkens",NA
2000-10-03,"london","nkens",NA
2000-10-04,"london","nkens",NA
2000-10-05,"london","nkens",NA
2000-10-06,"london","nkens",NA
2000-10-07,"london","nkens",NA
2000-10-08,"london","nkens",NA
2000-10-09,"london","nkens",NA
2000-10-10,"london","nkens",NA
2000-10-11,"london","nkens",NA
2000-10-12,"london","nkens",NA
2000-10-13,"london","nkens",NA
2000-10-14,"london","nkens",NA
2000-10-15,"london","nkens",NA
2000-10-16,"london","nkens",NA
2000-10-17,"london","nkens",NA
2000-10-18,"london","nkens",NA
2000-10-19,"london","nkens",NA
2000-10-20,"london","nkens",NA
2000-10-21,"london","nkens",NA
2000-10-22,"london","nkens",NA
2000-10-23,"london","nkens",NA
2000-10-24,"london","nkens",NA
2000-10-25,"london","nkens",NA
2000-10-26,"london","nkens",NA
2000-10-27,"london","nkens",NA
2000-10-28,"london","nkens",NA
2000-10-29,"london","nkens",NA
2000-10-30,"london","nkens",NA
2000-10-31,"london","nkens",NA
2000-11-01,"london","nkens",NA
2000-11-02,"london","nkens",NA
2000-11-03,"london","nkens",NA
2000-11-04,"london","nkens",NA
2000-11-05,"london","nkens",NA
2000-11-06,"london","nkens",NA
2000-11-07,"london","nkens",NA
2000-11-08,"london","nkens",NA
2000-11-09,"london","nkens",NA
2000-11-10,"london","nkens",NA
2000-11-11,"london","nkens",NA
2000-11-12,"london","nkens",NA
2000-11-13,"london","nkens",NA
2000-11-14,"london","nkens",NA
2000-11-15,"london","nkens",NA
2000-11-16,"london","nkens",NA
2000-11-17,"london","nkens",NA
2000-11-18,"london","nkens",NA
2000-11-19,"london","nkens",NA
2000-11-20,"london","nkens",NA
2000-11-21,"london","nkens",NA
2000-11-22,"london","nkens",NA
2000-11-23,"london","nkens",NA
2000-11-24,"london","nkens",NA
2000-11-25,"london","nkens",NA
2000-11-26,"london","nkens",NA
2000-11-27,"london","nkens",NA
2000-11-28,"london","nkens",NA
2000-11-29,"london","nkens",NA
2000-11-30,"london","nkens",NA
2000-12-01,"london","nkens",NA
2000-12-02,"london","nkens",NA
2000-12-03,"london","nkens",NA
2000-12-04,"london","nkens",NA
2000-12-05,"london","nkens",NA
2000-12-06,"london","nkens",NA
2000-12-07,"london","nkens",NA
2000-12-08,"london","nkens",NA
2000-12-09,"london","nkens",NA
2000-12-10,"london","nkens",NA
2000-12-11,"london","nkens",NA
2000-12-12,"london","nkens",NA
2000-12-13,"london","nkens",NA
2000-12-14,"london","nkens",NA
2000-12-15,"london","nkens",NA
2000-12-16,"london","nkens",NA
2000-12-17,"london","nkens",NA
2000-12-18,"london","nkens",NA
2000-12-19,"london","nkens",NA
2000-12-20,"london","nkens",NA
2000-12-21,"london","nkens",NA
2000-12-22,"london","nkens",NA
2000-12-23,"london","nkens",NA
2000-12-24,"london","nkens",NA
2000-12-25,"london","nkens",NA
2000-12-26,"london","nkens",NA
2000-12-27,"london","nkens",NA
2000-12-28,"london","nkens",NA
2000-12-29,"london","nkens",NA
2000-12-30,"london","nkens",NA
2000-12-31,"london","nkens",NA
2001-01-01,"london","nkens",NA
2001-01-02,"london","nkens",NA
2001-01-03,"london","nkens",NA
2001-01-04,"london","nkens",NA
2001-01-05,"london","nkens",NA
2001-01-06,"london","nkens",NA
2001-01-07,"london","nkens",NA
2001-01-08,"london","nkens",NA
2001-01-09,"london","nkens",NA
2001-01-10,"london","nkens",NA
2001-01-11,"london","nkens",NA
2001-01-12,"london","nkens",NA
2001-01-13,"london","nkens",NA
2001-01-14,"london","nkens",NA
2001-01-15,"london","nkens",NA
2001-01-16,"london","nkens",NA
2001-01-17,"london","nkens",NA
2001-01-18,"london","nkens",NA
