Hourly measurement data supplied by UK-air on 27/02/2024,,,,,,,,,
All Data GMT hour ending,,,,,,,,,
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect,,,,,,,,,
Site Name,,Chilbolton Observatory,,London Honor Oak Park,,London Marylebone Road,,London N. Kensington,
Latitude,,51.149617,,51.449674,,51.52253,,51.52105,
Longitude,,-1.438228,,-0.037418,,-0.154611,,-0.213492,
Site Type,,Rural Background,,Urban Background,,Urban Traffic,,Urban Background,
Zone,,South East,,Greater London,,Greater London,,Greater London,
Agglomeration,,#N/A,,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,
Local Authority,,Test Valley,,Lewisham,,Westminster,,Kensington,
Date,Time,Total Number Concentration (CPC),Status,Total Number Concentration (CPC),Status,Total Number Concentration (CPC),Status,Total Number Concentration (CPC),Status
1/10/2016,20:00:00,No data,,,,15654,V particles cm-3,15232,V particles cm-3
1/10/2016,21:00:00,No data,,,,17665,V particles cm-3,16503,V particles cm-3
1/10/2016,22:00:00,No data,,,,15722,V particles cm-3,16977,V particles cm-3
1/10/2016,23:00:00,No data,,,,12864,V particles cm-3,16566,V particles cm-3
1/10/2016,24:00:00,No data,,,,12383,V particles cm-3,11108,V particles cm-3
1/11/2016,1:00:00,No data,V particles cm-3,,,11176,V particles cm-3,11212,V particles cm-3
1/11/2016,2:00:00,No data,V particles cm-3,,,9337,V particles cm-3,4939,V particles cm-3
1/11/2016,3:00:00,No data,V particles cm-3,,,7866,V particles cm-3,3955,V particles cm-3
1/11/2016,4:00:00,No data,V particles cm-3,,,6840,V particles cm-3,5531,V particles cm-3
1/11/2016,5:00:00,No data,V particles cm-3,,,7424,V particles cm-3,3117,V particles cm-3
1/11/2016,6:00:00,No data,V particles cm-3,,,12155,V particles cm-3,2630,V particles cm-3
1/11/2016,7:00:00,No data,V particles cm-3,,,17048,V particles cm-3,7681,V particles cm-3
1/11/2016,8:00:00,No data,V particles cm-3,,,19333,V particles cm-3,9337,V particles cm-3
1/11/2016,9:00:00,No data,V particles cm-3,,,21063,V particles cm-3,11367,V particles cm-3
1/11/2016,10:00:00,No data,V particles cm-3,,,20862,V particles cm-3,13899,V particles cm-3
1/11/2016,11:00:00,No data,V particles cm-3,,,16786,V particles cm-3,9741,V particles cm-3
1/11/2016,12:00:00,No data,V particles cm-3,,,15091,V particles cm-3,8190,V particles cm-3
1/11/2016,13:00:00,No data,V particles cm-3,,,17401,V particles cm-3,10482,V particles cm-3
1/11/2016,14:00:00,No data,V particles cm-3,,,13603,V particles cm-3,6537,V particles cm-3
1/11/2016,15:00:00,No data,V particles cm-3,,,10455,V particles cm-3,7026,V particles cm-3
1/11/2016,16:00:00,No data,V particles cm-3,,,17082,V particles cm-3,6844,V particles cm-3
1/11/2016,17:00:00,No data,V particles cm-3,,,16652,V particles cm-3,14095,V particles cm-3
1/11/2016,18:00:00,No data,V particles cm-3,,,18943,V particles cm-3,12015,V particles cm-3
1/11/2016,19:00:00,No data,V particles cm-3,,,17831,V particles cm-3,8764,V particles cm-3
1/11/2016,20:00:00,No data,V particles cm-3,,,18111,V particles cm-3,10861,V particles cm-3
1/11/2016,21:00:00,No data,V particles cm-3,,,19017,V particles cm-3,15436,V particles cm-3
1/11/2016,22:00:00,No data,V particles cm-3,,,22510,V particles cm-3,16137,V particles cm-3
1/11/2016,23:00:00,No data,V particles cm-3,,,21123,V particles cm-3,26930,V particles cm-3
1/11/2016,24:00:00,No data,V particles cm-3,,,14110,V particles cm-3,10891,V particles cm-3
1/12/2016,1:00:00,No data,V particles cm-3,,,11488,V particles cm-3,12040,V particles cm-3
1/12/2016,2:00:00,No data,V particles cm-3,,,10481,V particles cm-3,7866,V particles cm-3
1/12/2016,3:00:00,No data,V particles cm-3,,,9850,V particles cm-3,5438,V particles cm-3
1/12/2016,4:00:00,No data,V particles cm-3,,,8774,V particles cm-3,4445,V particles cm-3
1/12/2016,5:00:00,No data,V particles cm-3,,,6916,V particles cm-3,4452,V particles cm-3
1/12/2016,6:00:00,No data,V particles cm-3,,,11392,V particles cm-3,9876,V particles cm-3
1/12/2016,7:00:00,No data,V particles cm-3,,,21163,V particles cm-3,19588,V particles cm-3
1/12/2016,8:00:00,No data,V particles cm-3,,,20782,V particles cm-3,14452,V particles cm-3
1/12/2016,9:00:00,No data,V particles cm-3,,,21699,V particles cm-3,13323,V particles cm-3
1/12/2016,10:00:00,No data,V particles cm-3,,,23264,V particles cm-3,19558,V particles cm-3
1/12/2016,11:00:00,No data,V particles cm-3,,,20395,V particles cm-3,26665,V particles cm-3
1/12/2016,12:00:00,No data,V particles cm-3,,,19860,V particles cm-3,8147,V particles cm-3
1/12/2016,13:00:00,No data,V particles cm-3,,,19062,V particles cm-3,8826,V particles cm-3
1/12/2016,14:00:00,No data,V particles cm-3,,,14971,V particles cm-3,7554,V particles cm-3
1/12/2016,15:00:00,No data,V particles cm-3,,,10351,V particles cm-3,5600,V particles cm-3
1/12/2016,16:00:00,No data,V particles cm-3,,,12653,V particles cm-3,6745,V particles cm-3
1/12/2016,17:00:00,No data,V particles cm-3,,,11608,V particles cm-3,7137,V particles cm-3
1/12/2016,18:00:00,No data,V particles cm-3,,,14103,V particles cm-3,7010,V particles cm-3
1/12/2016,19:00:00,No data,V particles cm-3,,,11562,V particles cm-3,6321,V particles cm-3
1/12/2016,20:00:00,No data,V particles cm-3,,,10598,V particles cm-3,7249,V particles cm-3
1/12/2016,21:00:00,No data,V particles cm-3,,,8187,V particles cm-3,6451,V particles cm-3
1/12/2016,22:00:00,No data,V particles cm-3,,,7066,V particles cm-3,6064,V particles cm-3
1/12/2016,23:00:00,No data,V particles cm-3,,,7321,V particles cm-3,5037,V particles cm-3
1/12/2016,24:00:00,No data,V particles cm-3,,,5770,V particles cm-3,4255,V particles cm-3
1/13/2016,1:00:00,No data,V particles cm-3,,,5809,V particles cm-3,4175,V particles cm-3
1/13/2016,2:00:00,No data,V particles cm-3,,,5075,V particles cm-3,5022,V particles cm-3
1/13/2016,3:00:00,No data,V particles cm-3,,,4649,V particles cm-3,5215,V particles cm-3
1/13/2016,4:00:00,No data,V particles cm-3,,,4199,V particles cm-3,5255,V particles cm-3
1/13/2016,5:00:00,No data,V particles cm-3,,,8048,V particles cm-3,4182,V particles cm-3
1/13/2016,6:00:00,No data,V particles cm-3,,,10549,V particles cm-3,5651,V particles cm-3
1/13/2016,7:00:00,No data,V particles cm-3,,,12208,V particles cm-3,7047,V particles cm-3
1/13/2016,8:00:00,No data,V particles cm-3,,,19678,V particles cm-3,14277,V particles cm-3
1/13/2016,9:00:00,No data,V particles cm-3,,,22835,V particles cm-3,15635,V particles cm-3
1/13/2016,10:00:00,No data,V particles cm-3,,,19175,V particles cm-3,14465,V particles cm-3
1/13/2016,11:00:00,No data,V particles cm-3,,,14374,V particles cm-3,11354,V particles cm-3
1/13/2016,12:00:00,No data,V particles cm-3,,,18841,V particles cm-3,14677,V particles cm-3
