date,area,site,ufp,nonext,tmean,no2,pm10,pm25,dow,holiday
2003-06-30,london,kensington,14440.2055520833,164,17.527645111084,31.9106178283691,26.3149089813232,13.6320676803589,1,0
2003-07-01,london,kensington,11432.7831666667,145,16.3800678253174,30.2542610168457,21.4664916992188,11.3789014816284,2,0
2003-07-02,london,kensington,13273.0638541667,157,16.9186744689941,34.9153137207031,24.225528717041,12.4835691452026,3,0
2003-07-03,london,kensington,12876.2696875,162,16.0419807434082,35.7446517944336,23.9569911956787,11.7481527328491,4,0
2003-07-04,london,kensington,10692.1384315789,156,16.3667793273926,32.4683837890625,23.0012893676758,11.3550424575806,5,0
2003-07-05,london,kensington,10325.1716666667,158,15.4408884048462,31.6232643127441,31.4428844451904,15.4475994110107,6,0
2003-07-06,london,kensington,10929.229875,168,18.5020713806152,31.4083862304688,29.1737842559814,15.0511999130249,7,0
2003-07-07,london,kensington,13299.3443229167,165,16.9774932861328,34.3747444152832,26.1107616424561,13.516791343689,1,0
2003-07-08,london,kensington,15306.4943541667,155,18.2947998046875,34.0492095947266,25.4568061828613,13.3905096054077,2,0
2003-07-09,london,kensington,15809.1751041667,180,21.1863784790039,36.1615257263184,33.723762512207,16.4305934906006,3,0
2003-07-10,london,kensington,13370.5562291667,189,21.9091377258301,30.225606918335,31.4439563751221,14.9148969650269,4,0
2003-07-11,london,kensington,11401.0291875,176,19.3365364074707,27.7515163421631,24.5311965942383,11.4250259399414,5,0
2003-07-12,london,kensington,13396.1509583333,158,18.846492767334,32.6228179931641,31.3269672393799,14.4370164871216,6,0
2003-07-13,london,kensington,23524.14534375,156,19.8547687530518,32.4616622924805,33.8626670837402,15.672287940979,7,0
2003-07-14,london,kensington,21495.3576979167,187,21.5891990661621,38.0226974487305,39.7499237060547,16.8715152740479,1,0
2003-07-15,london,kensington,,189,23.671911239624,50.1887741088867,46.8953247070313,19.3949375152588,2,0
2003-07-16,london,kensington,,211,21.049919128418,47.8506584167481,41.3579063415527,18.34303855896,3,0
2003-07-17,london,kensington,,178,18.6715984344482,21.24924659729,18.7635345458984,9.19145393371582,4,0
2003-07-18,london,kensington,,182,20.1078300476074,24.0579681396484,22.1312351226807,10.5429925918579,5,0
2003-07-19,london,kensington,,180,21.4736576080322,28.0254287719727,24.7210273742676,11.4370250701904,6,0
2003-07-20,london,kensington,,149,19.3436679840088,18.3516330718994,22.4449348449707,9.83931732177734,7,0
2003-07-21,london,kensington,,154,18.9793930053711,22.8656330108643,22.2855339050293,9.77199840545654,1,0
2003-07-22,london,kensington,,152,18.9377956390381,24.0299739837647,21.680591583252,9.59230518341064,2,0
2003-07-23,london,kensington,,169,18.9199886322022,22.7779979705811,20.8818664550781,9.49132633209229,3,0
2003-07-24,london,kensington,,158,19.0103645324707,21.4424304962158,19.7933769226074,8.85053062438965,4,0
2003-07-25,london,kensington,,158,17.8101978302002,25.7600803375244,16.7075157165527,8.04191303253174,5,0
2003-07-26,london,kensington,,148,16.2832927703857,28.7695541381836,17.2617321014404,8.27849388122559,6,0
2003-07-27,london,kensington,,152,18.9644508361816,19.3468227386475,19.1439647674561,8.63702297210693,7,0
2003-07-28,london,kensington,,169,16.741153717041,24.0944480895996,21.804557800293,9.62570476531982,1,0
2003-07-29,london,kensington,,170,18.4743423461914,20.2714767456055,18.2581748962402,8.4818229675293,2,0
2003-07-30,london,kensington,,166,19.9138622283936,25.7760677337647,21.3966045379639,9.36420726776123,3,0
2003-07-31,london,kensington,,162,18.5693969726563,27.9640502929688,23.7284984588623,10.4238348007202,4,0
2003-08-01,london,kensington,,172,17.4955997467041,31.3016395568848,26.75852394104,12.5773191452026,5,0
2003-08-02,london,kensington,,183,18.6369972229004,33.8436393737793,24.5021648406982,11.321403503418,6,0
2003-08-03,london,kensington,,151,20.3891696929932,39.9338836669922,32.9418754577637,15.6195840835571,7,0
2003-08-04,london,kensington,,169,22.641658782959,49.1634712219238,47.1343002319336,21.0055408477783,1,0
2003-08-05,london,kensington,,195,23.9720115661621,46.2043991088867,44.2690887451172,19.6940097808838,2,0
2003-08-06,london,kensington,,224,27.1141872406006,50.9774131774902,61.34130859375,28.8978691101074,3,0
2003-08-07,london,kensington,,195,23.5371398925781,39.117301940918,61.2339859008789,31.2891807556152,4,0
2003-08-08,london,kensington,,228,23.6506996154785,47.5683212280273,74.0815048217774,38.1719779968262,5,0
2003-08-09,london,kensington,,218,25.7594566345215,48.6047592163086,67.0519256591797,36.8743095397949,6,0
2003-08-10,london,kensington,,319,27.3292560577393,44.8310089111328,67.9942016601563,36.3485946655273,7,0
2003-08-11,london,kensington,,325,26.3384704589844,41.2723579406738,70.2763442993164,35.639289855957,1,0
2003-08-12,london,kensington,,299,24.158634185791,36.4729690551758,61.1804466247559,31.5257129669189,2,0
2003-08-13,london,kensington,,267,22.7019462585449,36.1613616943359,41.0514717102051,20.2751159667969,3,0
2003-08-14,london,kensington,,192,20.0188426971436,28.018440246582,23.0409374237061,9.27702522277832,4,0
2003-08-15,london,kensington,,190,17.6413841247559,33.4894714355469,24.80224609375,9.7570743560791,5,0
2003-08-16,london,kensington,,172,18.4726333618164,24.7688045501709,21.8908252716064,9.27355670928955,6,0
2003-08-17,london,kensington,,169,20.0259246826172,31.3696403503418,29.9637413024902,12.246940612793,7,0
2003-08-18,london,kensington,,201,20.3966751098633,35.176929473877,32.6453666687012,13.7884950637817,1,0
2003-08-19,london,kensington,,159,17.0115261077881,32.3774108886719,22.1552562713623,9.26249313354492,2,0
2003-08-20,london,kensington,,175,16.5445594787598,39.909481048584,26.7577705383301,10.8631982803345,3,0
2003-08-21,london,kensington,,181,17.7841262817383,28.1257381439209,21.9410171508789,9.18675899505615,4,0
2003-08-22,london,kensington,,196,21.4185676574707,24.3428192138672,20.5327301025391,8.99841785430908,5,0
2003-08-23,london,kensington,,152,22.0922622680664,30.0846862792969,22.5032367706299,10.1744480133057,6,0
2003-08-24,london,kensington,,181,21.6306285858154,23.4808788299561,22.6708202362061,10.5484828948975,7,0
